scientificName	accession	taxid
plasmid	NZ_CP033796	2576356
plasmid	NZ_CP033830	2420306
plasmid	NZ_AP017379	241368
plasmid	NZ_CP020393	60552
plasmid	NZ_CP041739	1157365
plasmid	NZ_CP041740	1157365
plasmid	NZ_CP036176	2153354
plasmid	NZ_CP022081	292
plasmid	NC_016045	971
plasmid	NZ_CP033968	82633
plasmid	NZ_CP033971	82633
plasmid	NZ_CP033772	287
plasmid	NZ_CP033773	287
plasmid	NZ_CP033834	287
plasmid	NZ_AP019546	1280
plasmid	NZ_AP019676	562
plasmid	NZ_AP019677	562
plasmid	NZ_AP019678	562
plasmid	NZ_AP019679	562
plasmid	NC_002095	1092
plasmid	NZ_AP019680	562
plasmid	NZ_AP019681	562
plasmid	NZ_AP021845	1765049
plasmid	NZ_CP045050	1598
plasmid	NZ_CP045036	1618
plasmid	NZ_CP045037	1618
plasmid	NZ_CP045069	88233
plasmid	NZ_CP045095	2653200
plasmid	NZ_CP028810	488447
plasmid	NZ_CP041880	1296
plasmid	NC_012219	1491
plasmid	NZ_CP041881	1296
plasmid	NZ_CP041882	1296
plasmid	NZ_CP041883	1296
plasmid	NZ_CP041884	1296
plasmid	NZ_CP041885	1296
plasmid	NZ_CP041886	1296
plasmid	NZ_CP041887	1296
plasmid	NZ_CP041888	1296
plasmid	NZ_CP041889	1296
plasmid	NZ_CP041890	1296
plasmid	NC_003458	1579
plasmid	NZ_CP041891	1296
plasmid	NZ_CP041892	1296
plasmid	NZ_CP041893	1296
plasmid	NZ_CP041894	1296
plasmid	NZ_CP041895	1296
plasmid	NZ_CP041896	1296
plasmid	NZ_CP041897	1296
plasmid	NZ_CP041898	1296
plasmid	NZ_CP041899	1296
plasmid	NZ_CP041900	1296
plasmid	NC_012549	1580
plasmid	NZ_CP041901	1296
plasmid	NZ_CP041902	1296
plasmid	NZ_CP041903	1296
plasmid	NZ_CP041904	1296
plasmid	NZ_CP041905	1296
plasmid	NZ_CP041906	1296
plasmid	NZ_CP041907	1296
plasmid	NZ_CP041908	1296
plasmid	NZ_CP041909	1296
plasmid	NZ_CP041910	1296
plasmid	NC_005001	1717
plasmid	NZ_CP041911	1296
plasmid	NZ_CP041912	1296
plasmid	NZ_CP041913	1296
plasmid	NZ_CP041914	1296
plasmid	NZ_CP041915	1296
plasmid	NZ_CP041916	1296
plasmid	NZ_CP041917	1296
plasmid	NZ_CP041918	1296
plasmid	NZ_CP044784	47466
plasmid	NZ_CP044785	47466
plasmid	NC_001385	1718
plasmid	NC_010330	1352
plasmid	NZ_CP044786	47466
plasmid	NZ_CP044787	47466
plasmid	NZ_CP044788	47466
plasmid	NZ_CP044789	47466
plasmid	NZ_CP044790	47466
plasmid	NZ_CP044791	47466
plasmid	NZ_CP044792	47466
plasmid	NZ_CP044793	47466
plasmid	NZ_CP044794	47466
plasmid	NZ_CP044795	47466
plasmid	NC_002611	1748
plasmid	NZ_CP044796	47466
plasmid	NZ_CP044797	47466
plasmid	NZ_CP044798	47466
plasmid	NZ_CP044799	47466
plasmid	NZ_CP044800	47466
plasmid	NZ_CP044801	47466
plasmid	NZ_CP044802	47466
plasmid	NZ_CP044803	47466
plasmid	NZ_CP044804	47466
plasmid	NZ_CP044805	47466
plasmid	NC_005016	1764
plasmid	NZ_CP044806	47466
plasmid	NZ_CP044807	47466
plasmid	NZ_CP044808	47466
plasmid	NZ_CP044809	47466
plasmid	NZ_CP044810	47466
plasmid	NZ_CP044811	47466
plasmid	NZ_CP044812	47466
plasmid	NZ_CP044813	47466
plasmid	NZ_CP044814	47466
plasmid	NZ_CP044815	47466
plasmid	NC_003846	1833
plasmid	NZ_CP044816	47466
plasmid	NZ_CP044817	47466
plasmid	NZ_CP044818	47466
plasmid	NZ_CP044819	47466
plasmid	NZ_CP044820	47466
plasmid	NZ_CP044821	47466
plasmid	NZ_CP044822	47466
plasmid	NZ_CP044823	47466
plasmid	NZ_CP044824	47466
plasmid	NZ_CP044825	47466
plasmid	NC_010011	43080
plasmid	NZ_CP044826	47466
plasmid	NZ_CP044827	47466
plasmid	NZ_CP044828	47466
plasmid	NZ_CP044829	47466
plasmid	NZ_CP044830	47466
plasmid	NZ_CP044831	47466
plasmid	NZ_CP044832	47466
plasmid	NZ_CP044833	47466
plasmid	NZ_CP044834	47466
plasmid	NZ_CP044835	47466
plasmid	NC_005909	43263
plasmid	NZ_CP044836	47466
plasmid	NZ_CP044837	47466
plasmid	NZ_CP044838	47466
plasmid	NZ_CP044839	47466
plasmid	NZ_CP044840	47466
plasmid	NZ_CP044841	47466
plasmid	NZ_CP044842	47466
plasmid	NZ_CP044843	47466
plasmid	NZ_CP044844	47466
plasmid	NZ_CP044845	47466
plasmid	NC_004939	43770
plasmid	NZ_CP044846	47466
plasmid	NZ_CP044847	47466
plasmid	NZ_CP044848	47466
plasmid	NZ_CP044849	47466
plasmid	NZ_CP044850	47466
plasmid	NZ_CP044851	47466
plasmid	NZ_CP044852	47466
plasmid	NZ_CP044853	47466
plasmid	NZ_CP044854	47466
plasmid	NZ_CP044855	47466
plasmid	NC_004938	45462
plasmid	NZ_CP044856	47466
plasmid	NZ_CP044857	47466
plasmid	NZ_CP044858	47466
plasmid	NZ_CP044859	47466
plasmid	NZ_CP044860	47466
plasmid	NZ_CP044861	47466
plasmid	NZ_CP044862	47466
plasmid	NZ_CP044863	47466
plasmid	NZ_CP044864	47466
plasmid	NZ_CP044865	47466
plasmid	NC_007167	45972
plasmid	NZ_CP044866	47466
plasmid	NZ_CP044867	47466
plasmid	NZ_CP044868	47466
plasmid	NZ_CP044869	47466
plasmid	NZ_CP044870	47466
plasmid	NZ_CP044871	47466
plasmid	NZ_CP044872	47466
plasmid	NZ_CP044873	47466
plasmid	NZ_CP044874	47466
plasmid	NZ_CP044875	47466
plasmid	NC_016049	46632
plasmid	NZ_CP044876	47466
plasmid	NZ_CP044877	47466
plasmid	NZ_CP044878	47466
plasmid	NZ_CP044879	47466
plasmid	NZ_CP044880	47466
plasmid	NZ_CP044881	47466
plasmid	NZ_CP044882	47466
plasmid	NZ_CP044883	47466
plasmid	NZ_CP044884	47466
plasmid	NZ_CP044885	47466
plasmid	NC_002061	47253
plasmid	NC_007190	274
plasmid	NZ_CP044886	47466
plasmid	NZ_CP044887	47466
plasmid	NZ_CP044888	47466
plasmid	NZ_CP044889	47466
plasmid	NZ_CP044890	47466
plasmid	NZ_CP044891	47466
plasmid	NZ_CP044892	47466
plasmid	NZ_CP044893	47466
plasmid	NZ_CP044894	47466
plasmid	NZ_CP044895	47466
plasmid	NC_004956	47660
plasmid	NZ_CP044896	47466
plasmid	NZ_CP044897	47466
plasmid	NZ_CP044898	47466
plasmid	NZ_CP044899	47466
plasmid	NZ_CP044900	47466
plasmid	NZ_CP044901	47466
plasmid	NZ_CP044902	47466
plasmid	NZ_CP044903	47466
plasmid	NZ_CP044904	47466
plasmid	NZ_CP044905	47466
plasmid	NC_007800	47735
plasmid	NZ_CP044906	47466
plasmid	NZ_CP044907	47466
plasmid	NZ_CP044908	47466
plasmid	NZ_CP044909	47466
plasmid	NZ_CP044910	47466
plasmid	NZ_CP044911	47466
plasmid	NZ_CP044912	47466
plasmid	NZ_CP044913	47466
plasmid	NZ_CP044914	47466
