scientificName	nuccoreAcc	taxid
Enterobacteriaceae	CP019076	543
Enterobacteriaceae	MH454107	543
Enterobacteriaceae	CP033847	543
Enterobacteriaceae	CP028576	543
Enterobacteriaceae	LS992186	543
Enterobacteriaceae	KP453775	543
Enterobacteriaceae	CP035478	543
Enterobacteriaceae	CP023827	543
Enterobacteriaceae	CP015070	543
Enterobacteriaceae	KX928752	543
Enterobacteriaceae	MK797990	543
Enterobacteriaceae	AP018574	543
Enterobacteriaceae	CP015086	543
Enterobacteriaceae	CP034956	543
Enterobacteriaceae	CP024863	543
Enterobacteriaceae	CP023259	543
Escherichia coli	CP041531	562
Escherichia coli	CP029978	562
Escherichia coli	CP031233	562
Escherichia coli	CP018964	562
Salmonella enterica	AY333434	28901
Enterobacteriaceae	CP033761	543
Enterobacteriaceae	CP036329	543
Enterobacteriaceae	CP009860	543
Enterobacteriaceae	CP025737	543
Escherichia coli	CP000971	562
Escherichia coli	MH580302	562
Escherichia coli	MF679147	562
Escherichia coli	CP043741	562
Escherichia coli	MG838205	562
Escherichia coli	LC484363	562
Escherichia coli	CP034739	562
Escherichia coli	MF474175	562
Escherichia coli	CP019007	562
Escherichia coli	JX077110	562
Escherichia coli	KJ484636	562
Escherichia coli	MF174860	562
Escherichia coli	EU330199	562
Enterobacteriaceae	KY007017	543
Enterobacteriaceae	CP026643	543
Enterobacteriaceae	MK878890	543
Enterobacteriaceae	CP010149	543
Enterobacteriaceae	NC_011964	543
Escherichia coli	CP010126	562
Escherichia coli	CP031323	562
Escherichia coli	CP043952	562
Escherichia coli	CP023384	562
Escherichia coli	CP019909	562
Escherichia coli	CP041997	562
Escherichia coli	CP019018	562
Escherichia coli	CP043737	562
Escherichia coli	CP032891	562
Escherichia coli	AP009242	562
Escherichia coli	CP024864	562
Escherichia	CP032813	561
Escherichia	CP030785	561
Escherichia coli	CP010124	562
Escherichia coli	CP025871	562
Escherichia coli	FN822746	562
Escherichia coli	CP022913	562
Escherichia coli	CP025857	562
Escherichia coli	CP024258	562
Escherichia coli	CP025861	562
Escherichia coli	CP025905	562
Escherichia coli	CP024994	562
Escherichia coli	CP009053	562
Escherichia coli	CP023734	562
Escherichia coli	CP010136	562
Escherichia coli	CP035753	562
Escherichia coli	CP014200	562
Escherichia coli	CP014199	562
Enterobacteriaceae	EU935738	543
Enterobacteriaceae	CP023918	543
Enterobacteriaceae	CP017852	543
Enterobacteriaceae	AP014806	543
Enterobacteriaceae	CP027120	543
Bifidobacterium asteroides	EU030683	1684
Empedobacter brevis	CP043636	247
Empedobacter brevis	CP043635	247
Bacillus thuringiensis	CP004137	1428
Bacillus thuringiensis	CP004129	1428
Bacillus thuringiensis	CP003892	1428
Bacillus thuringiensis	CP003755	1428
Bacillus thuringiensis	AP014869	1428
Lactococcus lactis	CP016718	1358
Lactococcus lactis	MF150537	1358
Lactococcus lactis	AF207855	1358
Lactococcus lactis	AB079380	1358
Lactococcus lactis	AJ550509	1358
Lactococcus lactis	HM021326	1358
Lactococcus lactis	CP016751	1358
Lactococcus lactis	CP016710	1358
Lactococcus lactis	CP002369	1358
Lactococcus lactis	AF306799	1358
Lactococcus lactis	CP034585	1358
Lactococcus lactis	NC_004960	1358
Lactococcus lactis	AB079381	1358
Lactococcus lactis	CP020609	1358
Lactococcus lactis	CP031543	1358
Lactococcus lactis	CP003164	1358
Lactococcus lactis	CP034572	1358
Lactococcus lactis	CP034579	1358
Lactococcus lactis	EU289287	1358
Lactobacillus brevis	CP031180	1580
Lactococcus lactis	AB198069	1358
Lactococcus lactis	CP016704	1358
Lactococcus lactis	CP043525	1358
Lactococcus lactis	JQ821356	1358
Lactococcus lactis	CP020606	1358
Lactococcus lactis	CP029291	1358
Lactococcus garvieae	KM007159	1363
Lactococcus garvieae	HE651325	1363
Lactococcus lactis	AF001314	1358
Lactococcus lactis	FR872378	1358
Lactococcus lactis	CP000430	1358
Lactococcus lactis	CP034576	1358
Lactococcus lactis	NC_002798	1358
