scientificName	nuccoreAcc	taxid	parent	source
Fusobacterium_nucleatum	CP028101	851	848	CDC SME
Gallus_gallus	HQ857211	9031	9030	UGA SME
Gardnerella_vaginalis	CP002104	2702	2701	NCBI-REF
Geobacter_sulfurreducens	AE017180	35554	28231	NCBI-REF
Gloeobacter_violaceus	BA000045	33072	33071	NCBI-REF
Grimontia_hollisae	CP035690	673	246861	CDC SME
Grimontia_hollisae	CP035691	673	246861	CDC SME
Haemophilus_aegyptius	CP082857	197575	724	FDA-ARGOS
Haemophilus_haemolyticus	LS483458	726	724	NCBI-REF
Haemophilus_influenzae	L42023	727	724	NCBI-REF
Haemophilus_parahaemolyticus	CP069510	735	724	FDA-ARGOS
Haemophilus_parainfluenzae	CP065991	729	724	FDA-ARGOS
Haemophilus_somnus	CP000947	228400	731	NCBI-REF
Halobacterium_salinarum	AM774415	2242	2239	NCBI-REF
Helianthus_annuus	MG770607	4232	4231	NCBI-REF
Helicobacter_pylori	AE000511	210	209	CDC SME
Heliomicrobium_modesticaldum	CP000930	35701	2831443	NCBI-REF
Homo_sapiens	J01415	9606	9605	NCBI-REF
Humulus_lupulus	NC_086845	3486	3484	UGA SME
Ketogulonicigenium_vulgare	CP002018	92945	92944	NCBI-REF
Kingella_denitrificans	CP065999	502	32257	FDA-ARGOS
Klebsiella_aerogenes	CP002824	548	570	NCBI-REF
Klebsiella_pneumoniae	CP003200	573	3390273	NCBI-REF
Lactobacillus_acidophilus	CP000033	1579	1578	NCBI-REF
Lactococcus_lactis	AE005176	1358	1357	NCBI-REF
Lactuca_sativa	MK820672	75943	4235	UGA SME
Legionella_pneumophila	AE017354	446	445	NCBI-REF
Leptospira_biflexa	CP000777	355278	145259	NCBI-REF
Leptospira_interrogans	CP020414	173	171	NCBI-REF
Leptothrix_cholodnii	CP001013	34029	88	NCBI-REF
Leuconostoc_citreum	DQ489736	349519	33964	NCBI-REF
Listeria_grayi	LR134483	1641	1637	NCTC3000
Listeria_innocua	CP045743	1642	1637	CDC SME
Listeria_ivanovii	FR687253	1638	1637	CDC SME
Listeria_monocytogenes_I	CP054040	9000000	1639	CDC SME
Listeria_monocytogenes_II	CP054042	9000001	1639	CDC SME
Listeria_monocytogenes_III	CP054039	9000002	1639	CDC SME
Listeria_monocytogenes_IV	CP054041	9000003	1639	CDC SME
Listeria_seeligeri	FN557490	1640	1637	CDC SME
Listeria_welshimeri	LT906444	1643	1637	NCTC3000
Lysinibacillus_sphaericus	CP000817	444177	1421	NCBI-REF
Measles_morbillivirus_D8	PV870339	170528	351680	StaPH-B SME
Mesoplasma_florum	AE017263	2151	46239	NCBI-REF
Mesorhizobium_ciceri	CP002447	39645	68287	NCBI-REF
Methylobacterium	CP000943	426117	2615210	NCBI-REF
Methylobacterium_radiotolerans	CP001001	31998	407	NCBI-REF
Micrococcus_luteus	CP001628	1270	1269	NCBI-REF
Moorella_thermoacetica	CP012370	1525	44260	NCBI-REF
Moraxella_catarrhalis	LS483445	480	475	NCBI-REF
Morganella_morganii_morganii	CP004345	180434	582	NCBI-REF
Mycobacterium_abscessus	CU458896	36809	670516	NCBI-REF
Mycobacterium_leprae	AL450380	1769	1763	NCBI-REF
Mycobacterium_tuberculosis	AL123456	1773	77643	NCBI-REF
Mycolicibacterium_fortuitum	AP025518	144549	1766	NCBI-REF
Mycoplasma_mycoides	BX293980	2102	656088	NCBI-REF
Mycoplasmoides_pneumoniae	U00089	2104	2995234	NCBI-REF
Neisseria_cinerea	CP065726	483	482	FDA-ARGOS
Neisseria_elongata	CP031255	495	482	CDC SME
Neisseria_flavescens	CP039886	484	482	NCBI-REF
Neisseria_gonorrhoeae	AE004969	485	482	CDC SME
Neisseria_lactamica	CP031253	486	482	CDC SME
Neisseria_meningitidis	AE002098	487	482	CDC SME
Neisseria_polysaccharea	CP031325	489	482	CDC SME
Neisseria_sicca	CP059566	490	482	NCBI-REF
Neisseria_subflava	CP039887	28449	482	NCBI-REF
Neisseria_weaveri	LR134533	28091	482	NCBI-REF
Neomysis_japonica	KR006340	1676841	223649	UGA SME
Nocardia_asteroides	CP089227	1824	1817	FDA-ARGOS
Nocardia_farcinica	CP031418	37329	1817	NCBI-REF
Brucella_anthropi	CP000758	529	234	NCBI-REF
